start,end,lane16,lane17,lane18,lane19,lane30,lane31,lane32,lane33
1680879660,1680883260,31,125,87,116,116,37,111,90
1680883260,1680886860,8,81,45,69,98,27,70,59
1680886860,1680890460,6,57,36,52,85,19,58,34
1680890460,1680894060,5,40,28,45,40,9,47,31
1680894060,1680897660,4,32,34,21,37,17,37,27
1680897660,1680901260,4,24,29,24,41,14,39,18
1680901260,1680904860,11,58,40,32,54,16,76,43
1680904860,1680908460,18,90,91,57,81,47,103,95
1680908460,1680912060,34,155,128,93,144,89,178,152
1680912060,1680915660,59,188,135,142,160,116,180,233
1680915660,1680919260,156,305,202,207,200,153,250,241
1680919260,1680922860,211,307,250,245,270,231,312,190
1680922860,1680926460,174,284,222,232,264,214,300,209
1680926460,1680930060,120,253,162,260,288,267,338,241
1680930060,1680933660,116,256,170,232,332,257,353,265
1680933660,1680937260,133,225,188,229,321,264,348,264
1680937260,1680940860,154,264,193,244,305,236,362,273
1680940860,1680944460,134,269,77,285,237,198,465,322
1680944460,1680948060,185,323,55,297,240,221,433,315
1680948060,1680951660,148,273,45,252,295,219,347,235
1680951660,1680955260,135,264,47,180,276,160,256,163
1680955260,1680958860,77,202,108,175,246,166,230,141
1680958860,1680962460,52,186,130,205,238,131,207,139
1680962460,1680966060,39,133,97,110,158,81,150,100
1680966060,1680969660,19,85,87,78,88,31,99,68
1680969660,1680973260,8,84,50,69,78,18,84,56
1680973260,1680976860,5,44,31,46,52,7,48,25
1680976860,1680980460,6,30,23,21,39,13,44,30
1680980460,1680984060,0,19,20,32,39,9,28,22
1680984060,1680987660,0,29,24,16,40,21,46,24
1680987660,1680991260,8,37,39,28,38,15,60,37
1680991260,1680994860,18,88,82,35,86,30,87,74
1680994860,1680998460,26,107,97,64,127,63,139,115
1680998460,1681002060,47,157,98,140,155,110,175,204
1681002060,1681005660,76,205,130,194,221,118,259,205
1681005660,1681009260,90,215,140,218,262,131,269,193
1681009260,1681012860,81,195,144,201,281,138,286,192
1681012860,1681016460,81,210,139,211,306,146,317,191
1681016460,1681020060,97,227,162,213,301,146,327,241
1681020060,1681023660,98,238,175,240,293,187,337,280
1681023660,1681027260,110,266,195,239,307,167,351,315
1681027260,1681030860,92,270,142,233,224,176,407,323
1681030860,1681034460,199,334,70,252,207,187,432,317
1681034460,1681038060,137,297,37,207,292,148,312,205
1681038060,1681041660,137,292,39,211,255,164,284,210
1681041660,1681045260,77,191,135,247,267,127,272,197
1681045260,1681048860,60,163,112,187,199,59,193,139
1681048860,1681052460,51,168,123,116,116,52,152,102
1681052460,1681056060,12,77,63,79,77,24,101,61
1681056060,1681059660,5,49,43,57,56,10,73,36
1681059660,1681063260,1,33,31,36,35,11,57,16
1681063260,1681066860,3,20,16,19,24,8,43,14
1681066860,1681070460,0,22,18,22,43,13,26,11
1681070460,1681074060,2,27,25,18,45,12,48,32
1681074060,1681077660,13,54,52,44,69,19,81,68
1681077660,1681081260,51,166,125,129,176,147,253,193
1681081260,1681084860,162,348,282,280,293,221,342,306
1681084860,1681088460,153,314,246,289,232,217,297,429
1681088460,1681092060,98,217,148,207,206,151,281,283
1681092060,1681095660,58,191,130,249,327,123,258,207
1681095660,1681099260,81,172,128,231,267,135,287,179
1681099260,1681102860,74,173,132,211,271,123,282,196
1681102860,1681106460,64,175,125,215,229,132,281,265
1681106460,1681110060,87,205,151,268,269,121,264,209
1681110060,1681113660,90,214,180,272,228,127,308,269
1681113660,1681117260,175,312,121,376,231,207,433,388
1681117260,1681120860,293,369,83,500,322,352,506,447
1681120860,1681124460,326,407,45,491,359,274,393,336
1681124460,1681128060,169,262,33,348,304,147,263,189
1681128060,1681131660,93,178,115,261,215,97,216,159
1681131660,1681135260,36,141,95,189,166,58,210,132
1681135260,1681138860,42,120,86,141,118,35,154,112
1681138860,1681142460,14,94,61,83,88,26,113,72
1681142460,1681146060,10,51,49,54,61,11,70,26
1681146060,1681149660,2,29,22,34,47,6,47,14
1681149660,1681153260,2,29,26,30,43,5,35,21
1681153260,1681156860,2,19,19,24,43,11,35,24
1681156860,1681160460,0,22,24,22,41,26,50,26
1681160460,1681164060,11,73,50,54,67,20,72,65
1681164060,1681167660,46,167,137,117,144,132,253,208
1681167660,1681171260,175,374,295,294,322,269,391,291
1681171260,1681174860,119,294,227,299,255,196,428,353
1681174860,1681178460,86,210,148,229,239,157,336,290
1681178460,1681182060,75,195,147,237,256,143,293,224
1681182060,1681185660,83,179,123,218,318,117,274,184
1681185660,1681189260,73,169,139,230,257,131,243,182
1681189260,1681192860,81,183,131,204,272,122,281,207
1681192860,1681196460,84,188,152,246,266,135,273,205
1681196460,1681200060,106,215,183,255,321,152,303,244
1681200060,1681203660,160,297,120,372,251,229,399,381
1681203660,1681207260,265,356,72,484,349,353,471,469
1681207260,1681210860,280,373,44,480,339,227,415,300
1681210860,1681214460,174,274,43,341,305,128,244,195
1681214460,1681218060,82,193,117,262,207,82,222,147
1681218060,1681221660,65,158,130,191,149,62,188,150
1681221660,1681225260,35,117,98,144,117,29,142,103
1681225260,1681228860,15,85,71,95,79,20,93,70
1681228860,1681232460,9,61,57,50,107,11,107,73
1681232460,1681236060,2,31,33,32,47,6,58,40
1681236060,1681239660,2,37,25,18,44,3,34,26
1681239660,1681243260,4,18,16,22,51,12,32,29
1681243260,1681246860,2,29,23,20,46,12,46,36
1681246860,1681250460,14,61,46,45,73,32,79,53
1681250460,1681254060,41,147,116,131,146,141,258,191
1681254060,1681257660,164,340,289,282,273,243,391,268
1681257660,1681261260,124,277,205,268,222,200,370,342
